privateIP,privatePort,publicIP,publicPort,destIP,destPort,imei,imsi,startTime,endTime,originCellID,originLat,originLong,uplinkVolume,downlinkVolume,totalVolume,accessType
68.73.30.161,56486,88.197.11.134,56486,185.60.218.35,50861,931980106110361,404452991927001,2025-08-10 13:43:49,2025-08-10 13:50:28,40440-31811-3964461,12.965731,80.136466,12446295,8392732,20839027,4G
124.245.244.95,44996,6.145.239.201,57459,142.250.52.162,443,963867151299330,404452991706055,2025-08-10 13:47:11,2025-08-10 14:14:27,40440-2262-4940374,12.972867,80.280137,278459,22493816,22772275,2G
191.15.119.140,64557,145.242.142.45,61629,185.60.218.35,5223,756044190533466,404452991750538,2025-08-10 14:12:06,2025-08-10 14:12:08,40440-42921-6278025,13.042097,80.266473,7121,17647,24768,2G
26.46.243.106,61003,4.229.39.197,16730,157.240.2.53,3478,756044190533466,404452991750538,2025-08-10 14:12:08,2025-08-10 14:12:09,40440-42921-6278025,13.042097,80.266473,3837,3568,7405,2G
122.178.48.197,52812,196.6.43.5,52812,157.240.1.53,59604,756044190533466,404452991750538,2025-08-10 14:12:09,2025-08-10 14:13:39,40440-42921-6278025,13.042097,80.266473,3032212,2162729,5194941,3G
92.183.164.141,3016,165.28.4.35,50942,172.217.196.45,80,683901706903725,404452991706055,2025-08-10 14:14:41,2025-08-10 14:38:54,40440-365-2437638,12.981422,80.232824,397663,6038615,6436278,3G
161.200.218.243,52022,42.35.219.31,48607,157.240.1.53,5223,211415505696798,404452991936654,2025-08-10 15:00:41,2025-08-10 15:00:43,40440-34451-6113131,13.047801,80.116573,11560,8030,19590,2G
138.196.100.157,46878,62.131.97.80,10653,185.60.218.35,3478,211415505696798,404452991936654,2025-08-10 15:00:43,2025-08-10 15:00:44,40440-34451-6113131,13.047801,80.116573,4657,3727,8384,3G
1.1.104.203,59688,30.192.211.242,59688,185.60.218.35,51483,211415505696798,404452991936654,2025-08-10 15:00:44,2025-08-10 15:03:20,40440-34451-6113131,13.047801,80.116573,3423886,4543323,7967209,2G
77.70.224.129,63096,31.223.137.150,29159,69.63.176.13,5223,162273449112660,404452991935917,2025-08-10 15:16:35,2025-08-10 15:16:37,40440-44060-9307646,13.048507,80.133528,9017,10206,19223,4G
221.85.123.7,60049,136.140.121.206,3588,31.13.65.49,3478,162273449112660,404452991935917,2025-08-10 15:16:37,2025-08-10 15:16:38,40440-44060-9307646,13.048507,80.133528,4786,4038,8824,4G
176.238.34.141,58794,151.128.172.222,58794,69.63.178.13,54840,162273449112660,404452991935917,2025-08-10 15:16:38,2025-08-10 15:24:52,40440-44060-9307646,13.048507,80.133528,12647453,11880421,24527874,4G
193.132.111.56,40875,191.97.188.228,46220,52.27.197.74,8443,503322854962749,404452991706055,2025-08-10 15:17:35,2025-08-10 15:26:40,40440-3675-1502547,12.919526,80.180101,151355,21261970,21413325,3G
201.203.226.160,48828,194.74.167.219,47893,13.51.145.188,8080,756503089586669,404452991706055,2025-08-10 15:37:00,2025-08-10 15:53:04,40440-43405-7242134,13.003877,80.11937,324440,43937859,44262299,2G
129.20.193.161,54393,94.220.92.114,42110,69.63.176.13,5223,014205292740207,404452991750538,2025-08-10 15:41:01,2025-08-10 15:41:03,40440-37879-7783394,13.005814,80.168153,11228,10393,21621,4G
146.158.129.48,44572,87.225.187.170,49789,185.60.218.35,3478,014205292740207,404452991750538,2025-08-10 15:41:03,2025-08-10 15:41:04,40440-37879-7783394,13.005814,80.168153,4326,3217,7543,4G
115.207.142.55,58863,209.144.104.62,58863,69.63.178.13,55899,014205292740207,404452991750538,2025-08-10 15:41:04,2025-08-10 15:50:18,40440-37879-7783394,13.005814,80.168153,9318504,15983580,25302084,3G
90.5.209.139,59833,148.222.126.56,61623,69.63.176.13,5223,675789314524211,404452991814631,2025-08-10 16:10:20,2025-08-10 16:10:22,40440-30498-4984204,12.924777,80.122643,13209,9166,22375,3G
26.11.40.100,56072,182.226.13.240,2916,185.60.218.35,3478,675789314524211,404452991814631,2025-08-10 16:10:22,2025-08-10 16:10:23,40440-30498-4984204,12.924777,80.122643,2024,2697,4721,4G
178.32.186.186,52179,108.244.220.33,52179,31.13.65.49,56361,675789314524211,404452991814631,2025-08-10 16:10:23,2025-08-10 16:18:13,40440-30498-4984204,12.924777,80.122643,14279516,13113767,27393283,2G
122.152.208.17,33329,17.187.26.69,18026,142.250.52.162,443,491100344951880,404452991750538,2025-08-10 16:38:13,2025-08-10 16:52:26,40440-5877-7153419,12.904828,80.165446,429465,9324920,9754385,3G
192.79.22.90,55720,103.101.101.202,59295,157.240.2.53,5222,712146452976303,404452991706055,2025-08-10 16:44:05,2025-08-10 16:44:07,40440-30377-3403242,12.962116,80.108074,11138,12777,23915,4G
202.54.165.200,62591,23.234.211.170,12699,185.60.216.35,3478,712146452976303,404452991706055,2025-08-10 16:44:07,2025-08-10 16:44:08,40440-30377-3403242,12.962116,80.108074,3811,3609,7420,4G
24.116.7.207,51464,23.107.210.224,51464,157.240.1.53,50972,712146452976303,404452991706055,2025-08-10 16:44:08,2025-08-10 16:51:02,40440-30377-3403242,12.962116,80.108074,8808662,11697226,20505888,3G
10.195.109.55,31256,63.10.218.180,48451,172.217.196.45,8080,920269914627830,404452991639871,2025-08-10 16:49:15,2025-08-10 16:52:55,40440-27889-7649618,12.956278,80.270046,458468,14653423,15111891,3G
104.212.220.78,42845,111.3.217.99,59757,31.13.64.51,5222,625312138194154,404452991750538,2025-08-10 16:54:41,2025-08-10 16:54:43,40440-9062-6914390,13.041158,80.184891,11822,8978,20800,2G
219.210.177.105,45383,129.143.193.144,35925,31.13.64.51,3478,625312138194154,404452991750538,2025-08-10 16:54:43,2025-08-10 16:54:44,40440-9062-6914390,13.041158,80.184891,3212,2588,5800,4G
202.40.222.66,55586,118.13.76.175,55586,31.13.64.51,57856,625312138194154,404452991750538,2025-08-10 16:54:44,2025-08-10 16:56:13,40440-9062-6914390,13.041158,80.184891,2833799,1547909,4381708,3G
78.94.158.19,40589,4.206.129.216,28589,69.63.178.13,5223,080349956197867,404452991639871,2025-08-10 16:54:52,2025-08-10 16:54:54,40440-26128-1732491,13.019544,80.106477,11692,9870,21562,2G
46.117.127.26,51073,43.205.11.35,49771,31.13.64.51,3478,080349956197867,404452991639871,2025-08-10 16:54:54,2025-08-10 16:54:55,40440-26128-1732491,13.019544,80.106477,4671,3889,8560,4G
148.40.8.137,52382,86.108.138.91,52382,69.63.178.13,57316,080349956197867,404452991639871,2025-08-10 16:54:55,2025-08-10 16:56:34,40440-26128-1732491,13.019544,80.106477,3108460,1624878,4733338,3G
33.199.132.108,33321,74.55.158.85,55368,13.51.145.188,80,718571548835851,404452991814631,2025-08-10 17:08:54,2025-08-10 17:11:07,40440-40389-3102032,12.997912,80.260916,292850,5260657,5553507,4G
66.126.133.174,40077,155.162.178.63,15029,69.63.178.13,5222,925612260443047,404452991706055,2025-08-10 17:52:47,2025-08-10 17:52:49,40440-40175-7734765,13.080965,80.259974,14811,15351,30162,3G
142.91.33.122,55452,68.62.177.245,48370,185.60.218.35,3478,925612260443047,404452991706055,2025-08-10 17:52:49,2025-08-10 17:52:50,40440-40175-7734765,13.080965,80.259974,3618,4839,8457,3G
174.218.16.148,53397,107.187.171.174,53397,31.13.64.51,53421,925612260443047,404452991706055,2025-08-10 17:52:50,2025-08-10 17:58:06,40440-40175-7734765,13.080965,80.259974,7512431,10449027,17961458,3G
20.250.60.90,50535,47.71.40.168,3230,185.60.218.35,5223,612219497611917,404452991905828,2025-08-10 17:57:22,2025-08-10 17:57:24,40440-25116-3911257,13.034922,80.16274,8863,17830,26693,3G
31.140.199.89,45873,90.215.21.14,26476,157.240.2.53,3478,612219497611917,404452991905828,2025-08-10 17:57:24,2025-08-10 17:57:25,40440-25116-3911257,13.034922,80.16274,2771,4632,7403,3G
140.247.229.10,56652,56.189.11.118,56652,31.13.65.49,56625,612219497611917,404452991905828,2025-08-10 17:57:25,2025-08-10 18:06:28,40440-25116-3911257,13.034922,80.16274,10992456,13435973,24428429,2G
114.63.136.53,57710,144.168.100.20,10565,185.60.218.35,5223,591164173346680,404452991936654,2025-08-10 18:07:55,2025-08-10 18:07:57,40440-20363-6364753,13.063044,80.122795,8875,17765,26640,2G
156.203.246.234,63248,95.90.71.252,37591,185.60.216.35,3478,591164173346680,404452991936654,2025-08-10 18:07:57,2025-08-10 18:07:58,40440-20363-6364753,13.063044,80.122795,2903,3658,6561,4G
52.4.20.163,52596,71.21.227.234,52596,69.63.176.13,55400,591164173346680,404452991936654,2025-08-10 18:07:58,2025-08-10 18:12:27,40440-20363-6364753,13.063044,80.122795,7507889,9078202,16586091,2G
220.209.196.172,15941,147.153.95.231,20338,52.27.197.74,8443,846594687318896,404452991639871,2025-08-10 18:08:43,2025-08-10 18:33:37,40440-40160-3369124,13.051973,80.274292,124689,7795964,7920653,3G
115.54.40.201,57095,223.129.242.203,4608,31.13.65.49,5222,726491540654678,404452991905828,2025-08-10 18:12:32,2025-08-10 18:12:34,40440-15149-6668197,13.021756,80.19624,11495,8084,19579,3G
76.76.144.238,63156,167.53.195.211,3460,157.240.2.53,3478,726491540654678,404452991905828,2025-08-10 18:12:34,2025-08-10 18:12:35,40440-15149-6668197,13.021756,80.19624,2237,4889,7126,2G
112.137.40.201,56525,6.194.222.140,56525,185.60.216.35,59355,726491540654678,404452991905828,2025-08-10 18:12:35,2025-08-10 18:19:14,40440-15149-6668197,13.021756,80.19624,7053508,11991441,19044949,4G
118.50.122.65,42607,110.213.86.226,34205,52.27.197.74,80,981087778998158,404452991936654,2025-08-10 18:14:46,2025-08-10 18:28:06,40440-17111-5981017,13.067893,80.172164,305345,19860928,20166273,2G
81.85.117.38,56088,168.172.60.130,55194,69.63.178.13,5223,669032369848753,404452991927001,2025-08-10 18:43:44,2025-08-10 18:43:46,40440-9784-3622084,13.07991,80.243272,13123,9005,22128,2G
17.211.217.233,40151,223.131.244.64,26249,31.13.65.49,3478,669032369848753,404452991927001,2025-08-10 18:43:46,2025-08-10 18:43:47,40440-9784-3622084,13.07991,80.243272,4133,2416,6549,2G
93.97.192.104,54756,181.241.221.45,54756,31.13.64.51,57477,669032369848753,404452991927001,2025-08-10 18:43:47,2025-08-10 18:45:22,40440-9784-3622084,13.07991,80.243272,2922660,3204358,6127018,3G
16.34.152.19,43430,165.51.129.93,19067,69.63.178.13,5223,536236207219154,404452991750538,2025-08-10 18:48:53,2025-08-10 18:48:55,40440-10837-1260584,13.085114,80.238561,7383,18461,25844,4G
223.144.45.65,44603,182.248.33.116,52938,31.13.65.49,3478,536236207219154,404452991750538,2025-08-10 18:48:55,2025-08-10 18:48:56,40440-10837-1260584,13.085114,80.238561,2104,2821,4925,2G
67.67.158.67,56079,135.58.28.79,56079,185.60.218.35,59636,536236207219154,404452991750538,2025-08-10 18:48:56,2025-08-10 18:56:42,40440-10837-1260584,13.085114,80.238561,14171847,15262614,29434461,3G
147.41.140.212,36398,1.38.101.188,45155,13.51.145.188,8080,665309665668928,404452991927001,2025-08-10 19:16:16,2025-08-10 19:39:42,40440-27833-2575455,12.922243,80.287944,160484,36577130,36737614,2G
98.198.34.184,12323,180.133.42.146,40538,52.27.197.74,443,055893820075588,404452991750538,2025-08-10 19:25:36,2025-08-10 19:40:32,40440-33829-6773322,13.054529,80.130146,331250,41399757,41731007,4G
1.166.124.124,41535,150.237.235.27,57153,69.63.176.13,5223,127393896421642,404452991935917,2025-08-10 19:32:23,2025-08-10 19:32:25,40440-44265-6787520,12.96266,80.214915,12896,14903,27799,2G
24.79.208.95,45449,93.93.213.1,23404,157.240.1.53,3478,127393896421642,404452991935917,2025-08-10 19:32:25,2025-08-10 19:32:26,40440-44265-6787520,12.96266,80.214915,4137,4363,8500,2G
166.90.72.72,58360,3.230.66.121,58360,157.240.2.53,56793,127393896421642,404452991935917,2025-08-10 19:32:26,2025-08-10 19:33:25,40440-44265-6787520,12.96266,80.214915,1121387,1224476,2345863,4G
66.23.186.232,45086,178.194.223.39,9638,69.63.176.13,5223,537911657841929,404452991905828,2025-08-10 19:40:32,2025-08-10 19:40:34,40440-27360-3081522,13.054269,80.181249,5043,12581,17624,3G
75.116.23.23,42499,115.177.167.105,8202,157.240.2.53,3478,537911657841929,404452991905828,2025-08-10 19:40:34,2025-08-10 19:40:35,40440-27360-3081522,13.054269,80.181249,2352,4675,7027,4G
27.108.233.23,51424,206.205.52.40,51424,157.240.1.53,53281,537911657841929,404452991905828,2025-08-10 19:40:35,2025-08-10 19:45:56,40440-27360-3081522,13.054269,80.181249,8256661,6918710,15175371,3G
209.161.160.222,53717,28.124.10.22,19137,185.60.218.35,5223,400391467815650,404452991905828,2025-08-10 20:02:54,2025-08-10 20:02:56,40440-46558-7723329,13.022929,80.157937,6145,14885,21030,2G
189.80.193.122,63743,68.7.187.104,22690,157.240.2.53,3478,400391467815650,404452991905828,2025-08-10 20:02:56,2025-08-10 20:02:57,40440-46558-7723329,13.022929,80.157937,4035,2003,6038,2G
